Industry,Customer Action/Query,Inferred Intent,Customer Classification,Customer Type,Customer Profile
Travel/Hospitality,Can I get a refund for an unused hotel night?,Refund Inquiry,Risk (Dissatisfaction),Standard Traveler,Problem Solver
Travel/Hospitality,How can I check in online for my flight?,Pre-Travel Service,Existing Customer,Standard Traveler,Digital Adopter
Travel/Hospitality,I'm looking for accessible travel options.,Specific Needs Inquiry,Potential Buyer,Traveler with Needs,New Prospect
Travel/Hospitality,What are the COVID-19 protocols for your hotels?,Health/Safety Inquiry,Information Seeker,Health-Conscious Traveler,Information Seeker
Travel/Hospitality,Do you have any last-minute travel deals?,Deal Seeking,Potential Buyer,Budget Traveler,Deal Seeker
Travel/Hospitality,I want to upgrade my flight seat.,Service Upgrade,Existing Customer,Standard Traveler,Upsell Target
Healthcare,I need to schedule an appointment with a dermatologist.,Appointment Booking,New Patient,Standard Patient,New Patient
Healthcare,What are the symptoms of strep throat?,Symptom/Condition Inquiry,Information Seeker / Potential Patient,Standard Patient,Concerned Individual
Healthcare,Can I get a refill for my prescription?,Prescription Request,Existing Patient,Standard Patient,Routine Patient
Healthcare,How do I access my medical records online?,Medical Record Access,Existing Patient,Standard Patient,Engaged Patient
Healthcare,I'm looking for a new primary care physician in my area.,Provider Search,New Patient,Standard Patient,New Patient
Healthcare,What is the cost of a general check-up without insurance?,Cost Inquiry,Potential Patient,Standard Patient,Cost-Sensitive Patient
Healthcare,I'm experiencing severe chest pain. What should I do?,Urgent Medical Concern,Risk (High Urgency),Standard Patient,Emergency Patient
Healthcare,Can you explain my recent lab results?,Result Interpretation,Existing Patient,Standard Patient,Engaged Patient
Healthcare,Do you offer telemedicine appointments?,Service Inquiry,New Patient / Existing Patient,Standard Patient,Digital-Savvy Patient
Healthcare,How do I update my insurance information?,Administrative Update,Existing Patient,Standard Patient,Routine Patient
Healthcare,I need information on preventative care for heart disease.,Health Education,Information Seeker,Standard Patient,Health-Conscious Individual
Healthcare,What vaccines are recommended for adults?,Vaccine Inquiry,Potential Patient,Standard Patient,Health-Conscious Individual
Healthcare,I want to get a second opinion on my diagnosis.,Second Opinion Seeking,Potential Patient / Existing Patient (High Risk),Standard Patient,Critical Patient
Healthcare,How do I pay my medical bill online?,Billing Inquiry,Existing Patient,Standard Patient,Engaged Patient
Healthcare,Tell me about your maternity services.,Specific Service Inquiry,New Patient,Standard Patient,Expectant Parent
Healthcare,I'm interested in joining a clinical trial.,Research Participation,Information Seeker,Standard Patient,Research-Oriented
Healthcare,What support groups are available for chronic pain?,Support Service Inquiry,Existing Patient,Standard Patient,Patient with Chronic Condition
Healthcare,My appointment was canceled. How do I reschedule?,Appointment Rescheduling,Existing Patient,Standard Patient,Routine Patient
Healthcare,Do you offer mental health counseling?,Mental Health Service Inquiry,New Patient,Standard Patient,Concerned Individual
Healthcare,I'm having trouble logging into the patient portal.,Technical Support,Existing Patient,Standard Patient,Digital User
Healthcare,What is the waiting time for an urgent care visit?,Service Availability Inquiry,Potential Patient,Standard Patient,Urgent Care Seeker
Healthcare,Can I get a referral to a specialist?,Referral Request,Existing Patient,Standard Patient,Routine Patient
Healthcare,I need to report a side effect from a medication.,Adverse Event Reporting,Existing Patient,Standard Patient,Concerned Patient
Healthcare,How can I prepare for my upcoming surgery?,Pre-Procedure Information,Existing Patient,Standard Patient,Pre-Surgery Patient
Healthcare,What are my rights as a patient?,Patient Rights Inquiry,Information Seeker,Standard Patient,Informed Patient
E-commerce,I want to buy a new laptop.,Product Purchase Intent,Potential Buyer,Standard Buyer,Tech Enthusiast
E-commerce,Where is my order #12345?,Order Tracking,Existing Customer,Standard Buyer,Active Buyer
E-commerce,How do I return a shirt I bought last week?,Return/Exchange Inquiry,Existing Customer,Standard Buyer,Post-Purchase
E-commerce,Do you have this dress in a size medium?,Product Availability/Inquiry,Potential Buyer,Standard Buyer,Shopper
E-commerce,I'm looking for a gift for my friend who likes cooking.,Gift/Category Browsing,Potential Buyer,Standard Buyer,Gift Giver
E-commerce,My payment didn't go through.,Payment Issue,Potential Buyer / Existing Customer,Standard Buyer,Frustrated Buyer
E-commerce,What are your shipping options to Canada?,Shipping Inquiry,Potential Buyer,Standard Buyer,International Buyer
E-commerce,Can I use multiple discount codes on one order?,Promotion Inquiry,Potential Buyer,Standard Buyer,Deal Seeker
E-commerce,I received a damaged item.,Damaged Goods Report,Existing Customer,Standard Buyer,Dissatisfied Buyer
E-commerce,How do I create an account?,Account Creation Inquiry,New Opportunity,Standard Buyer,New User
E-commerce,Tell me about your loyalty points program.,Loyalty Program Inquiry,Potential Buyer / Existing Customer,Loyal Buyer,Engaged Buyer
E-commerce,I want to unsubscribe from your marketing emails.,Unsubscribe Request,Risk (Churn),Standard Buyer,Churn Risk
E-commerce,Do you offer gift cards?,Gift Card Inquiry,Potential Buyer,Standard Buyer,Gift Giver
E-commerce,What's the warranty on this blender?,Product Warranty Inquiry,Potential Buyer,Standard Buyer,Concerned Buyer
E-commerce,I forgot my password.,Account Access Issue,Existing Customer,Standard Buyer,Digital User
E-commerce,Are there any upcoming sales?,Sales/Promotion Inquiry,Potential Buyer,Standard Buyer,Deal Seeker
E-commerce,I want to leave a product review.,Feedback/Review Submission,Existing Customer,Standard Buyer,Engaged Buyer
E-commerce,How can I cancel my subscription?,Subscription Cancellation,Risk (Churn),Standard Buyer,Churn Risk
E-commerce,Can I change my shipping address after placing an order?,Order Modification,Existing Customer,Standard Buyer,Active Buyer
E-commerce,What's your privacy policy regarding my data?,Privacy Inquiry,Information Seeker,Standard Buyer,Privacy Conscious
E-commerce,I'm having trouble adding items to my cart.,Technical Issue (Website),Potential Buyer,Standard Buyer,Frustrated Buyer
E-commerce,Do you offer price matching?,Price Comparison/Inquiry,Potential Buyer,Standard Buyer,Price-Sensitive Buyer
E-commerce,I want to report a fake product listing.,Fraud Reporting,Information Seeker / Customer Support,Standard Buyer,Security Conscious
E-commerce,Can I pick up my order in-store?,Pickup Option Inquiry,Potential Buyer,Standard Buyer,Local Shopper
E-commerce,Tell me about your sustainable product range.,Specific Product Category Interest,New Opportunity,Standard Buyer,Eco-Conscious Buyer
